"","cuenca","year","month","pp_mean"
"157",101,2006,1,151.884672298558
"158",101,2006,2,46.0858055054231
"159",101,2006,3,118.278986092031
"160",101,2006,4,229.688881342308
"161",101,2006,5,233.254090426046
"162",101,2006,6,554.993015526854
"163",101,2006,7,508.150959842321
"164",101,2006,8,305.423780747123
"165",101,2006,9,188.165004775367
"166",101,2006,10,207.423986195239
"167",101,2006,11,76.0610793676692
"168",101,2006,12,196.113591197556
"169",101,2007,1,34.3640224174154
"170",101,2007,2,60.3789536593208
"171",101,2007,3,49.2280023048469
"172",101,2007,4,218.408505240279
"173",101,2007,5,126.398133042666
"174",101,2007,6,283.704471254505
"175",101,2007,7,353.957405570098
"176",101,2007,8,212.823041429369
"177",101,2007,9,165.509994994676
"178",101,2007,10,194.335961814672
"179",101,2007,11,61.8182845640955
"180",101,2007,12,65.9200252579674
"181",101,2008,1,53.965588908182
"182",101,2008,2,35.9250981396015
"183",101,2008,3,67.8561234886154
"184",101,2008,4,142.912615441868
"185",101,2008,5,408.553126095392
"186",101,2008,6,212.61933092401
"187",101,2008,7,494.271657593554
"188",101,2008,8,574.702801390846
"189",101,2008,9,63.5389101764841
"190",101,2008,10,77.8135316314739
"191",101,2008,11,104.739769552308
"192",101,2008,12,32.6063433765794
"193",101,2009,1,29.1529859873869
"194",101,2009,2,58.7152558396462
"195",101,2009,3,65.6383484194615
"196",101,2009,4,149.286919125549
"197",101,2009,5,496.557541165923
"198",101,2009,6,297.749696359
"199",101,2009,7,197.65500840608
"200",101,2009,8,560.571974483829
"201",101,2009,9,121.522611106506
"202",101,2009,10,308.753229495769
"203",101,2009,11,220.314552153557
"204",101,2009,12,134.320403065195
"205",101,2010,1,57.4306542033661
"206",101,2010,2,133.626047962923
"207",101,2010,3,99.8155798327219
"208",101,2010,4,71.3715938981469
"209",101,2010,5,139.519361715639
"210",101,2010,6,440.703966759015
"211",101,2010,7,324.183470550331
"212",101,2010,8,358.780670712777
"213",101,2010,9,73.1812119728615
"214",101,2010,10,144.041306615462
"215",101,2010,11,120.388767024418
"216",101,2010,12,121.775452090065
"217",101,2011,1,98.7844876218692
"218",101,2011,2,47.3567736961538
