"","cuenca","year","month","pp_mes"
"151",101,1991,7,350.144306442915
"152",101,1991,8,238.477816628615
"153",101,1991,9,231.794801104977
"154",101,1991,10,99.3219214933685
"155",101,1991,11,81.7176476511769
"156",101,1991,12,255.535864559772
"157",101,1992,1,2.98347793719692
"158",101,1992,2,51.9739586250908
"159",101,1992,3,118.75135629227
"160",101,1992,4,215.063607818596
"161",101,1992,5,399.640890678375
"162",101,1992,6,417.136014805397
"163",101,1992,7,184.735106264117
"164",101,1992,8,158.688677918069
"165",101,1992,9,243.519572551152
"166",101,1992,10,237.394661230222
"167",101,1992,11,69.1045926089077
"168",101,1992,12,154.752808383246
"169",101,1993,1,55.6209128585169
"170",101,1993,2,15.8035751301538
"171",101,1993,3,200.167956420492
"172",101,1993,4,274.290659673769
"173",101,1993,5,509.856512052923
"174",101,1993,6,531.245365823431
"175",101,1993,7,404.750692385
"176",101,1993,8,223.383031892338
"177",101,1993,9,90.01952993603
"178",101,1993,10,162.705854328715
"179",101,1993,11,143.290226522014
"180",101,1993,12,149.887695447528
"181",101,1994,1,33.9994810044123
"182",101,1994,2,45.3042000073923
"183",101,1994,3,63.6449870358
"184",101,1994,4,238.924515493308
"185",101,1994,5,326.49936074625
"186",101,1994,6,399.260174566677
"187",101,1994,7,374.259731159185
"188",101,1994,8,182.499212074577
"189",101,1994,9,279.573189707762
"190",101,1994,10,183.950810454635
"191",101,1994,11,204.938465453902
"192",101,1994,12,134.3379072066
"193",101,1995,1,76.9031759487769
"194",101,1995,2,10.0057359637692
"195",101,1995,3,63.2442831356862
"196",101,1995,4,250.784544123
"197",101,1995,5,173.773758916231
"198",101,1995,6,542.375193648992
"199",101,1995,7,404.795831929965
"200",101,1995,8,380.21431365064
"201",101,1995,9,99.0789784588769
"202",101,1995,10,171.065819094768
"203",101,1995,11,62.2980600152
"204",101,1995,12,2.46300464265385
"205",101,1996,1,46.9335322659846
"206",101,1996,2,95.12100445545
"207",101,1996,3,131.359184207969
"208",101,1996,4,142.757501294605
"209",101,1996,5,224.079806245351
"210",101,1996,6,193.171619535308
"211",101,1996,7,114.4766818458
"212",101,1996,8,341.557218893146
"213",101,1996,9,99.9704998203846
"214",101,1996,10,117.014342143238
"215",101,1996,11,101.732243496448
"216",101,1996,12,62.8648899268538
"217",101,1997,1,130.875541319789
"218",101,1997,2,51.7020176764615
"219",101,1997,3,22.8988126202123
"220",101,1997,4,451.18012547081
"221",101,1997,5,197.767245771292
"222",101,1997,6,494.556263598861
"223",101,1997,7,536.358088636662
"224",101,1997,8,249.052153733531
"225",101,1997,9,217.029936896269
"226",101,1997,10,263.946563405069
"227",101,1997,11,209.082113106015
"228",101,1997,12,91.6929881507131
"229",101,1998,1,37.4004213732385
"230",101,1998,2,17.0196857104692
"231",101,1998,3,63.1842958265
"232",101,1998,4,104.263519754508
